_id,ADDRESS_POINT_ID,ADDRESS_POINT_ID_LINK,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,GENERAL_USE,CENTRELINE_ID,CENTRELINE_SIDE,CENTRELINE_MEASURE,ADDRESS_CLASS_DESC,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,ID,BUILDING_NAME,CLIENT_ADDRESS,TYPE_INSTALL,YEAR_INSTALL,SIZE_INSTALL,UNIT_MAX_POWER,ENERGY_OUTPUT,UNIT_ANNUAL,LANDLORD,SYSTEM_OWNERSHIP,FORMER_MUNICIPALITY,CLIENT_ADDR_POINT_ID,OBJECTID,geometry
1,20006001,NA,9,Hanna Ave,9 Hanna Ave,M6K 1W8,former Toronto,Toronto,Spadina-Fort York (10 ),NA,113001,Industrial Location,1147118,R,-47.66,Land,9,NA,NA,NA,3602,NA,NA,NA,NA,1,Traffic Services and Garage,9 Hanna Ave,FIT 1,"Mar 31, 2010",50,NA,NA,NA,NA,NA,NA,20006001,1,"c(-79.417220801414, 43.6376228367342)"
2,4257357,NA,850,Coxwell Ave,850 Coxwell Ave,M4C 5R1,East York,Toronto,Toronto-Danforth (14 ),East York Civic Centre,104001,Municipal City Hall,4257358,L,71.8,Land,850,NA,NA,NA,71,NA,NA,NA,NA,2,East York Civic Centre PV System,850 Coxwell Avenue,FIT 1,"Feb 8, 2012",30,NA,NA,NA,NA,NA,NA,4257357,2,"c(-79.3278994155093, 43.6909791267225)"
3,7985900,NA,462,Runnymede Rd,462 Runnymede Rd,M6S 2Z3,former Toronto,Toronto,Parkdale-High Park (4 ),Fire Station 424,103002,Fire Station,7985886,L,22,Land,462,NA,NA,NA,866,NA,NA,NA,NA,3,Firehall 424,462 Runnymede Rd,MircoFIT,"Dec 23, 2010",1.2,NA,NA,NA,NA,NA,NA,7985900,3,"c(-79.4796294010287, 43.6583545553016)"
4,14069050,NA,339,Queens Quay W,339 Queens Quay W,M5V 1A2,former Toronto,Toronto,Spadina-Fort York (10 ),"Hto Park,Maple Leaf Quay",103005,Fire/Ambulance Stations,10223459,L,195.2,Land,339,NA,NA,NA,4244,NA,NA,NA,NA,4,Firehall 334,339 Queens Quay West,MircoFIT,"Jul 12, 2010",3.2,NA,NA,NA,NA,NA,NA,14069050,4,"c(-79.388613016358, 43.6376903109341)"
5,7348693,NA,31,Drummond St,31 Drummond St,M8V 1Y7,Etobicoke,Toronto,Etobicoke-Lakeshore (3 ),Mimico Arena - Building Grounds,106005,Sport Complex,7348685,L,154.04,Land,31,NA,NA,NA,1486,NA,NA,NA,NA,5,Mimico Arena,31 Drummond Street,FIT 1,"Feb 27, 2013",62,NA,NA,NA,NA,NA,NA,7348693,5,"c(-79.4988290901752, 43.6123933210181)"
6,987966,NA,70,Birmingham St,70 Birmingham St,M8V 3W6,Etobicoke,Toronto,Etobicoke-Lakeshore (3 ),NA,113001,Industrial Location,914305,R,104.81,Land,70,NA,NA,NA,1181,NA,NA,NA,NA,6,Police College - Shooting Range Phase I,70 Birmingham Street,FIT 1,"Mar 26, 2013",216,NA,NA,NA,NA,NA,NA,987966,6,"c(-79.5034791058314, 43.6050756358877)"
7,482523,NA,45,Ancaster Rd,45 Ancaster Rd,M3K 1S7,North York,Toronto,York Centre (6 ),NA,104008,Other Office Building,30093012,R,33.74,Land,45,NA,NA,NA,4795,NA,NA,NA,NA,86,Ancaster Child Care Centre,45 Ancaster Rd,MicroFIT C,"Aug 1, 2017",10,NA,NA,NA,NA,NA,NA,482523,86,"c(-79.4660111463244, 43.7330258269539)"
8,7369114,NA,23,Grandravine Dr,23 Grandravine Dr,M3J 1B3,North York,Toronto,York Centre (6 ),Grandravine Park,106007,Community/Assembly Hall,7369138,L,2.05,Land,23,NA,NA,NA,5733,NA,NA,NA,NA,7,Grandravine CC & Arena,23 Grandravine Drive,FIT 1,"Mar 27, 2013",90,NA,NA,NA,NA,NA,NA,7369114,7,"c(-79.4897156157261, 43.7517531447405)"
9,12623513,NA,1300,Sheppard Ave W,1300 Sheppard Ave W,M3K 2A6,North York,Toronto,York Centre (6 ),NA,115001,Unknown,12623514,R,235.97,Land,1300,NA,NA,NA,6699,NA,NA,NA,NA,84,North York Animal Centre,1300 Sheppard Ave W,MicroFIT C,"June 19, 2017",10,NA,NA,NA,NA,NA,NA,12623513,84,"c(-79.4828147093058, 43.7532039209859)"
10,7583388,NA,600,Roding St,600 Roding St,M3M 2A5,North York,Toronto,York Centre (6 ),Roding Park,106007,Community/Assembly Hall,30037267,L,27.45,Land,600,NA,NA,NA,6573,NA,NA,NA,NA,8,Roding CC & Arena,600 Roding Street,FIT 1,"Mar 22, 2013",75,NA,NA,NA,NA,NA,NA,7583388,8,"c(-79.4925005879096, 43.7290920275721)"
11,522461,NA,45,Goulding Ave,45 Goulding Ave,M2M 1K8,North York,Toronto,Willowdale (18 ),Goulding Community Centre,106007,Community/Assembly Hall,436936,L,80.04,Land,45,NA,NA,NA,5727,NA,NA,NA,NA,9,Goulding Park Cc & Arena,45 Goulding Ave,FIT 1,"Mar 3, 2013",75,NA,NA,NA,NA,NA,NA,522461,9,"c(-79.4221400423368, 43.7909032845046)"
12,20015342,NA,2539,Bayview Ave,2539 Bayview Ave,M2L 1B1,North York,Toronto,Don Valley West (15 ),NA,106005,Sport Complex,30100673,R,33.23,Land,2539,NA,NA,NA,24,NA,NA,NA,NA,10,York Mills Arena,2539 Bayview Ave,FIT 1,"Feb 27, 2013",75,NA,NA,NA,NA,NA,NA,20015342,10,"c(-79.383508508669, 43.7475982824404)"
13,6682366,NA,190,Bermondsey Rd,190 Bermondsey Rd,M4A 1Y1,North York,Toronto,Don Valley East (16 ),Victoria Village Arena - Building Grounds,106005,Sport Complex,6682365,L,14.4,Land,190,NA,NA,NA,31,NA,NA,NA,NA,11,Victoria Village Arena,190 Bermondsey Road,FIT 1,"Mar 1, 2013",90,NA,NA,NA,NA,NA,NA,6682366,11,"c(-79.3157901802586, 43.7230899615605)"
